strain,stress,material
0.00164,13.51178,Aluminum
0.00165,13.63698,Aluminum
0.00166,13.76214,Aluminum
0.00167,13.88732,Aluminum
0.00168,14.01247,Aluminum
0.00169,14.13762,Aluminum
0.00171,14.26285,Aluminum
0.00172,14.37662,Aluminum
0.00173,14.49045,Aluminum
0.00174,14.59285,Aluminum
0.00175,14.70665,Aluminum
0.00176,14.80911,Aluminum
0.00177,14.92293,Aluminum
0.00178,15.03675,Aluminum
0.00179,15.15057,Aluminum
0.0018,15.2644,Aluminum
0.00181,15.3782,Aluminum
0.00182,15.49201,Aluminum
0.00183,15.60586,Aluminum
0.00185,15.71973,Aluminum
0.00186,15.84493,Aluminum
0.00187,15.95874,Aluminum
0.00188,16.0726,Aluminum
0.00189,16.18643,Aluminum
0.0019,16.30026,Aluminum
0.00191,16.41414,Aluminum
0.00192,16.53933,Aluminum
0.00193,16.65322,Aluminum
0.00195,16.76709,Aluminum
0.00196,16.88095,Aluminum
0.00197,16.99478,Aluminum
0.00198,17.12003,Aluminum
0.00199,17.2453,Aluminum
0.002,17.3591,Aluminum
0.00201,17.47296,Aluminum
0.00203,17.58699,Aluminum
0.00204,17.71222,Aluminum
0.00205,17.82608,Aluminum
0.00206,17.95132,Aluminum
0.00207,18.06519,Aluminum
0.00208,18.17906,Aluminum
0.0021,18.30448,Aluminum
0.0021,18.41817,Aluminum
0.00212,18.53224,Aluminum
0.00213,18.65749,Aluminum
0.00214,18.77137,Aluminum
0.00215,18.89663,Aluminum
0.00216,19.01051,Aluminum
0.00217,19.1244,Aluminum
0.00218,19.24967,Aluminum
0.0022,19.36375,Aluminum
0.0022,19.48883,Aluminum
0.00222,19.61429,Aluminum
0.00223,19.7282,Aluminum
0.00224,19.85347,Aluminum
0.00225,19.96738,Aluminum
0.00227,20.09286,Aluminum
0.00227,20.20657,Aluminum
0.00229,20.33206,Aluminum
0.0023,20.45735,Aluminum
0.00231,20.57127,Aluminum
0.00232,20.69657,Aluminum
0.00233,20.82186,Aluminum
0.00235,20.936,Aluminum
0.00236,21.0613,Aluminum
0.00237,21.18661,Aluminum
0.00238,21.30054,Aluminum
0.00239,21.42585,Aluminum
0.0024,21.55117,Aluminum
0.00242,21.66532,Aluminum
0.00243,21.79064,Aluminum
0.00244,21.91597,Aluminum
0.00245,22.02992,Aluminum
0.00246,22.15524,Aluminum
0.00247,22.28057,Aluminum
0.00249,22.40613,Aluminum
0.0025,22.53146,Aluminum
0.00251,22.64543,Aluminum
0.00252,22.74802,Aluminum
0.00253,22.86199,Aluminum
0.00254,22.97596,Aluminum
0.00256,23.2039,Aluminum
0.00257,23.31788,Aluminum
0.00258,23.43186,Aluminum
0.00259,23.54584,Aluminum
0.00261,23.66006,Aluminum
0.00262,23.77405,Aluminum
0.00263,23.88804,Aluminum
0.00264,24.00203,Aluminum
0.00265,24.11602,Aluminum
0.00266,24.23002,Aluminum
0.00267,24.34402,Aluminum
0.00269,24.57202,Aluminum
0.0027,24.68603,Aluminum
0.00271,24.80004,Aluminum
0.00272,24.91405,Aluminum
0.00274,25.02831,Aluminum
0.00275,25.14233,Aluminum
0.00276,25.25634,Aluminum
0.00278,25.37062,Aluminum
0.00279,25.59841,Aluminum
0.0028,25.71244,Aluminum
0.00281,25.82647,Aluminum
0.00282,25.9405,Aluminum
0.00284,26.05479,Aluminum
0.00285,26.16883,Aluminum
0.00286,26.28287,Aluminum
0.00287,26.39691,Aluminum
0.00289,26.51122,Aluminum
0.0029,26.73905,Aluminum
0.00291,26.8531,Aluminum
0.00292,26.96716,Aluminum
0.00293,27.08121,Aluminum
0.00295,27.19554,Aluminum
0.00296,27.3096,Aluminum
0.00297,27.42366,Aluminum
0.00298,27.65152,Aluminum
0.003,27.76587,Aluminum
0.00301,27.87994,Aluminum
0.00302,27.99402,Aluminum
0.00303,28.10809,Aluminum
0.00305,28.22245,Aluminum
0.00306,28.45034,Aluminum
0.00307,28.56442,Aluminum
0.00309,28.6788,Aluminum
0.0031,28.79289,Aluminum
0.00311,28.90698,Aluminum
0.00312,29.02108,Aluminum
0.00313,29.13518,Aluminum
0.00315,29.36338,Aluminum
0.00316,29.47749,Aluminum
0.00316,29.5916,Aluminum
0.00318,29.706,Aluminum
0.00319,29.82012,Aluminum
0.0032,30.04805,Aluminum
0.00322,30.16247,Aluminum
0.00323,30.27659,Aluminum
0.00324,30.39072,Aluminum
0.00325,30.50484,Aluminum
0.00327,30.61928,Aluminum
0.00328,30.84724,Aluminum
0.00329,30.96137,Aluminum
0.00331,31.07582,Aluminum
0.00332,31.18996,Aluminum
0.00333,31.30411,Aluminum
0.00334,31.53209,Aluminum
0.00336,31.64655,Aluminum
0.00337,31.76071,Aluminum
0.00339,31.87518,Aluminum
0.0034,31.98934,Aluminum
0.00341,32.21734,Aluminum
0.00343,32.33183,Aluminum
0.00344,32.446,Aluminum
0.00345,32.56017,Aluminum
0.00347,32.67466,Aluminum
0.00348,32.90269,Aluminum
0.0035,33.0172,Aluminum
0.0035,33.13105,Aluminum
0.00352,33.24556,Aluminum
0.00353,33.47361,Aluminum
0.00355,33.58813,Aluminum
0.00356,33.70233,Aluminum
0.00357,33.81652,Aluminum
0.00359,34.04492,Aluminum
0.00361,34.15947,Aluminum
0.00362,34.27367,Aluminum
0.00364,34.38822,Aluminum
0.00365,34.6163,Aluminum
0.00366,34.73052,Aluminum
0.00368,34.84508,Aluminum
0.00369,34.95931,Aluminum
0.0037,35.1874,Aluminum
0.00372,35.30198,Aluminum
0.00373,35.41621,Aluminum
0.00374,35.53045,Aluminum
0.00376,35.75892,Aluminum
0.00377,35.87316,Aluminum
0.00379,35.98776,Aluminum
0.0038,36.102,Aluminum
0.00381,36.33014,Aluminum
0.00383,36.44475,Aluminum
0.00384,36.559,Aluminum
0.00386,36.67363,Aluminum
0.00387,36.90178,Aluminum
0.00389,37.01641,Aluminum
0.0039,37.13068,Aluminum
0.00391,37.35885,Aluminum
0.00393,37.47349,Aluminum
0.00394,37.58777,Aluminum
0.00396,37.81633,Aluminum
0.00397,37.93061,Aluminum
