strain,stress
0.00446,43.07738
0.00448,43.1922
0.0045,43.30703
0.00451,43.53539
0.00453,43.65023
0.00454,43.8786
0.00456,43.99345
0.00457,44.10786
0.00459,44.33669
0.00461,44.45155
0.00462,44.56597
0.00463,44.79438
0.00465,44.90925
0.00467,45.02413
0.00468,45.25255
0.0047,45.36744
0.00471,45.48188
0.00473,45.71077
0.00474,45.82522
0.00475,45.93967
0.00477,46.16858
0.00478,46.28304
0.0048,46.39796
0.00481,46.62642
0.00483,46.74135
0.00485,46.85629
0.00486,47.08477
0.00487,47.19924
0.00489,47.31419
0.00491,47.54316
0.00492,47.65765
0.00494,47.77261
0.00495,47.8871
0.00497,48.1161
0.00499,48.23107
0.00501,48.34606
0.00503,48.46105
0.00505,48.69007
0.00507,48.80507
0.0051,48.92056
0.00513,49.03605
0.00516,49.15156
0.00519,49.26707
0.00522,49.38259
0.00526,49.4986
0.00531,49.61512
0.00535,49.73116
0.00539,49.73314
0.00545,49.85018
0.00549,49.96674
0.00554,50.08331
0.0056,50.0863
0.00566,50.20338
0.00573,50.32099
0.0058,50.32449
0.00586,50.44161
0.00594,50.44562
0.00601,50.56327
0.00608,50.56679
0.00616,50.68497
0.00624,50.689
0.00632,50.8072
0.0064,50.81124
0.00648,50.92947
0.00656,50.93352
0.00665,50.93807
0.00674,51.05685
0.00682,51.0609
0.00692,51.06597
0.00701,51.18479
0.00709,51.18936
0.00719,51.19445
0.00729,51.31381
0.00738,51.3184
0.00749,51.324
0.00759,51.44342
0.00769,51.44852
0.00779,51.45363
0.00789,51.45873
0.008,51.57871
0.00811,51.58434
0.00821,51.58946
0.00831,51.70898
0.00841,51.71462
0.00851,51.71974
0.00862,51.72539
0.00872,51.84496
0.00883,51.85062
0.00893,51.85575
0.00904,51.86141
0.00914,51.98104
0.00925,51.98671
0.00935,51.99186
0.00945,51.99701
0.00955,52.11722
0.00965,52.12238
0.00976,52.12806
0.00986,52.13322
0.00996,52.25297
0.01006,52.25815
0.01016,52.26332
0.01026,52.2685
0.01037,52.38882
0.01047,52.39401
0.01056,52.39919
0.01066,52.40438
0.01077,52.52476
0.01087,52.52996
0.01098,52.53568
0.01108,52.54087
0.01119,52.66132
0.0113,52.66705
0.01139,52.67225
0.01149,52.67746
0.0116,52.79797
0.01171,52.80371
0.01181,52.80893
0.01192,52.81467
0.01203,52.93524
0.01213,52.94047
0.01223,52.94622
0.01234,52.95197
0.01245,53.0726
0.01256,53.07837
0.01266,53.08361
0.01277,53.08937
0.01288,53.21007
0.01299,53.21584
0.01309,53.22162
0.0132,53.2274
0.01331,53.34815
0.01341,53.35342
0.01352,53.35921
0.01362,53.47948
0.01374,53.48581
0.01383,53.49109
0.01394,53.49689
0.01404,53.61723
0.01415,53.62304
0.01426,53.62886
0.01436,53.63414
0.01446,53.75507
0.01456,53.76036
0.01467,53.76619
0.01477,53.77149
0.01487,53.89194
0.01498,53.89778
0.01508,53.90309
0.01517,53.9084
0.01527,54.02891
0.01538,54.03477
0.01548,54.04009
0.01558,54.04541
0.01569,54.16651
0.01578,54.17184
0.01588,54.17717
0.01599,54.29832
0.01608,54.30313
0.01618,54.30848
0.01629,54.31435
0.01639,54.43503
0.01649,54.44092
0.01659,54.44627
0.0167,54.45216
0.0168,54.57289
0.01695,54.81173
0.01715,54.93846
0.01743,54.95358
0.01777,54.97249
0.01815,54.99355
0.0186,55.01785
0.01903,55.15724
0.01951,55.18376
0.02,55.32657
0.02059,55.47492
0.02108,55.61796
0.02157,55.76112
0.02205,55.90439
0.02254,56.04777
0.02293,56.18578
0.02342,56.32938
0.02381,56.46758
0.0243,56.61139
0.02469,56.74978
0.02508,56.88826
0.02547,57.02684
0.02586,57.1655
0.02625,57.30425
0.02664,57.4431
0.02713,57.58764
0.02752,57.72668
0.028,57.87143
0.02849,58.0163
0.02898,58.16129
0.02946,58.30638
0.03004,58.45727
0.03053,58.48563
0.03101,58.63102
0.0315,58.77653
0.03189,58.91644
0.03237,59.06216
0.03285,59.20799
0.03324,59.3482
0.03363,59.4885
0.03411,59.63465
0.0345,59.77514
0.03488,59.91572
0.03527,59.93886
0.03566,60.07958
0.03604,60.22039
0.03652,60.36711
0.03691,60.39039
0.0373,60.53144
0.03768,60.67257
0.03816,60.81966
0.03864,60.96685
0.03912,61.11416
0.03961,61.14354
0.04009,61.29102
0.04066,61.44452
0.04114,61.59223
0.04172,61.6277
0.0422,61.7756
0.04277,61.92954
0.04325,61.95921
0.04373,62.10741
0.0443,62.26167
0.04478,62.29145
0.04516,62.43397
0.04564,62.58256
0.04602,62.72528
0.0465,62.75523
0.04679,62.89209
0.04717,63.03503
0.04755,63.17806
0.04784,63.19613
0.04822,63.33929
0.0485,63.47649
0.04889,63.50068
0.04917,63.51882
0.04946,63.65617
0.04984,63.79965
0.05012,63.81786
0.0505,63.96147
0.05088,63.9858
0.05136,64.13564
0.05183,64.1661
0.0524,64.32221
0.05307,64.48458
0.05373,64.52738
0.0543,64.68386
0.05506,64.85275
0.05572,64.89571
0.05629,65.05256
0.05704,65.22187
0.0577,65.26499
0.05836,65.42839
0.05902,65.47159
0.05968,65.63523
0.06034,65.67851
0.061,65.72179
0.06157,65.87955
0.06222,65.92291
0.06279,65.96008
0.06326,66.11192
0.06382,66.14915
0.06429,66.18018
0.06476,66.33226
0.06513,66.47822
0.06541,66.61803
0.0656,66.63051
0.06579,66.64299
0.06597,66.65547
0.06607,66.66171
0.06616,66.66795
0.06626,66.91664
0.06644,67.29291
0.06663,67.54804
0.06672,67.43308
0.06682,66.83292
0.06691,67.08178
0.067,67.08806
0.0671,67.21566
0.06719,67.22194
0.06738,67.35588
0.06766,67.37477
0.06813,67.5277
0.06859,67.55924
0.06925,67.72499
0.06999,67.77554
0.07064,67.94154
0.07139,67.99218
0.07213,68.04283
0.07297,68.22185
0.07372,68.27258
0.07446,68.44555
0.0752,68.49637
0.07603,68.55355
0.07678,68.72689
0.07761,68.78417
0.07835,68.83509
0.07918,68.89237
0.07992,69.06619
0.08075,69.12357
0.08149,69.17458
0.08232,69.35515
0.08305,69.40625
0.08388,69.58712
0.08462,69.63831
0.08535,69.81307
0.08609,69.86435
0.08673,69.90922
0.08737,69.95409
0.08774,70.10359
0.0881,70.12927
0.08829,70.14212
0.08838,70.14854
0.08856,70.28534
0.08865,70.29177
0.08874,70.42219
0.08883,70.42863
0.08893,70.55908
0.08902,70.68956
0.08911,70.69602
0.08911,70.69602
0.0892,70.82653
0.08929,70.95706
0.08938,71.33573
0.08957,71.59695
0.08966,71.72759
0.08984,71.86483
0.08984,70.87188
0.08993,70.63009
0.08993,70.75422
0.09002,70.76069
0.09011,70.76716
0.09011,70.89131
0.09021,70.89779
0.0903,70.90427
0.09057,71.04791
0.09085,71.06738
0.0913,71.09983
0.09176,71.13228
0.0924,71.30214
0.09303,71.34765
0.09376,71.39965
0.09449,71.45166
0.09531,71.63497
0.09595,71.68056
0.09676,71.73917
0.09758,71.92286
0.09831,71.97505
0.09912,72.03376
0.09985,72.08595
0.10066,72.27013
0.10147,72.32895
0.1022,72.38123
0.10301,72.44004
0.10382,72.49886
0.10463,72.55767
0.10535,72.73601
0.10616,72.79493
0.10697,72.85384
0.10778,72.91276
0.1085,73.09159
0.1093,73.1506
0.11011,73.20962
0.11083,73.26208
0.11163,73.44796
0.11244,73.50708
0.11324,73.5662
0.11404,73.62532
0.11485,73.8117
0.11556,73.86434
0.11636,73.92357
0.11716,73.98279
0.11787,74.16308
0.11849,74.20922
0.11912,74.25536
0.11956,74.28832
0.12,74.32128
0.12027,74.46901
0.12053,74.48882
0.12071,74.50203
0.12089,74.51523
0.12098,74.52183
0.12107,74.65649
0.12116,74.66311
0.12124,74.66972
0.12133,74.80443
0.12142,74.81105
0.12151,74.94579
0.1216,74.95243
0.12169,75.0872
0.12178,75.09385
0.12186,75.1005
0.12195,75.23531
0.12195,75.23531
0.12204,75.24197
0.12213,75.37682
0.12222,75.5117
0.12231,75.51838
0.12239,75.65329
0.12248,75.78822
0.12257,75.92317
0.12266,75.92989
0.12284,75.81504
0.12293,75.82175
0.12301,75.82845
0.1231,75.83516
0.12319,75.84186
0.12328,75.84857
0.12337,75.85527
0.12346,75.86198
0.12354,75.74031
0.12346,74.70672
0.12354,74.71332
0.12354,74.71332
0.12363,74.84831
0.12363,74.84831
0.12372,74.85492
0.12381,74.86154
0.12381,74.86154
0.1239,74.86815
0.12407,74.88138
0.12425,74.89461
0.12452,74.91445
0.12487,74.94091
0.12531,74.97398
0.12575,75.13571
0.12637,75.18209
0.1269,75.22185
0.1276,75.27485
0.12822,75.32123
0.12892,75.37424
0.12962,75.42724
0.13041,75.48688
0.13112,75.53988
0.13191,75.59951
0.13261,75.78206
0.13339,75.84179
0.13418,75.90153
0.13497,75.96126
0.13575,76.02099
0.13645,76.07409
0.13724,76.13383
0.13802,76.19356
0.1388,76.25329
0.13959,76.44348
0.14028,76.49666
0.14115,76.56315
0.14185,76.61633
0.14263,76.67617
0.14349,76.74265
0.14427,76.80249
0.14505,76.86233
0.14583,76.92216
0.14661,76.982
0.14738,77.04183
0.14816,77.23324
0.14894,77.29318
0.14971,77.35312
0.15049,77.41306
0.15126,77.47299
0.15203,77.53293
0.15281,77.59287
0.15358,77.65281
0.15435,77.71274
0.15512,77.77268
0.15589,77.83262
0.15666,77.89256
0.15752,77.95916
0.15828,78.152
0.15905,78.21204
